different,people
used,history
important,way
every,art
large,world
available,information
popular,map
able,two
basic,family
known,government
various,health
difficult,system
several,computer
united,meat
historical,year
hot,thanks
useful,music
mental,person
scared,reading
additional,method
emotional,data
old,food
political,understanding
similar,theory
healthy,law
financial,bird
medical,literature
traditional,problem
federal,software
entire,control
strong,knowledge
actual,power
significant,ability
successful,economics
electrical,love
expensive,internet
pregnant,television
intelligent,science
interesting,library
poor,nature
happy,fact
responsible,product
cute,idea
helpful,temperature
recent,investment
willing,area
nice,society
wonderful,activity
impossible,story
serious,industry
huge,media
rare,thing
technical,oven
typical,community
competitive,definition
critical,safety
electronic,quality
immediate,development
aware,language
educational,management
environmental,player
global,variety
legal,video
relevant,week
accurate,security
capable,country
dangerous,exam
dramatic,movie
efficient,organization
powerful,equipment
foreign,physics
hungry,analysis
practical,policy
psychological,series
severe,thought
suitable,basis
numerous,boyfriend
sufficient,direction
unusual,strategy
consistent,technology
cultural,army
existing,camera
famous,freedom
pure,paper
afraid,environment
obvious,child
careful,instance
latter,month
unhappy,truth
acceptable,marketing
aggressive,university
boring,writing
distinct,article
eastern,department
logical,difference
reasonable,goal
strict,news
administrative,audience
automatic,fishing
civil,growth
former,income
massive,marriage
southern,user
unfair,combination
visible,failure
alive,meaning
angry,medicine
desperate,philosophy
exciting,teacher
friendly,communication
lucky,night
realistic,chemistry
sorry,disease
ugly,disk
unlikely,energy
anxious,nation
comprehensive,road
curious,role
impressive,soup
informal,advertising
inner,location
pleasant,success
sexual,addition
sudden,apartment
terrible,education
unable,math
weak,moment
wooden,painting
asleep,politics
confident,attention
conscious,decision
decent,event
embarrassed,property
guilty,shopping
lonely,student
mad,wood
nervous,competition
odd,distribution
remarkable,entertainment
substantial,office
suspicious,population
tall,president
tiny,unit
more,category
some,cigarette
one,context
all,introduction
many,opportunity
most,performance
other,driver
such,flight
even,length
new,magazine
just,newspaper
good,relationship
any,teaching
each,cell
much,dealer
own,finding
great,lake
another,member
same,message
few,phone
free,scene
right,appearance
still,association
best,concept
public,customer
human,death
both,discussion
local,housing
sure,inflation
better,insurance
general,mood
specific,woman
enough,advice
long,blood
small,effort
less,expression
high,importance
certain,opinion
little,payment
common,reality
next,responsibility
simple,situation
hard,skill
past,statement
big,wealth
possible,application
particular,city
real,county
major,depth
personal,estate
current,foundation
left,grandmother
national,heart
least,perspective
natural,photo
physical,recipe
short,studio
last,topic
single,collection
individual,depression
main,imagination
potential,passion
professional,percentage
international,resource
lower,setting
open,ad
according,agency
alternative,college
special,connection
working,criticism
TRUE,debt
whole,description
clear,memory
dry,patience
easy,secretary
cold,solution
commercial,administration
full,aspect
low,attitude
primary,director
worth,personality
necessary,psychology
positive,recommendation
present,response
close,selection
creative,storage
green,version
late,alcohol
fit,argument
glad,complaint
proper,contract
complex,emphasis
content,highway
due,loss
effective,membership
middle,possession
regular,preparation
fast,steak
independent,union
original,agreement
wide,cancer
beautiful,currency
complete,employment
active,engineering
negative,entry
safe,interaction
visual,mixture
wrong,preference
ago,region
quick,republic
ready,tradition
straight,virus
white,actor
direct,classroom
excellent,delivery
extra,device
junior,difficulty
pretty,drama
unique,election
classic,engine
final,football
overall,guidance
private,hotel
separate,owner
western,priority
alone,protection
familiar,suggestion
official,tension
perfect,variation
bright,anxiety
broad,atmosphere
comfortable,awareness
flat,bath
rich,bread
warm,candidate
young,climate
heavy,comparison
valuable,confusion
correct,construction
leading,elevator
slow,emotion
clean,employee
fresh,employer
normal,guest
secret,height
tough,leadership
brown,mall
cheap,manager
deep,operation
objective,recording
secure,sample
thin,transportation
chemical,charity
cool,cousin
extreme,disaster
exact,editor
fair,efficiency
fine,excitement
formal,extent
opposite,feedback
remote,guitar
total,homework
vast,leader
lost,mom
smooth,outcome
dark,permission
double,presentation
equal,promotion
firm,reflection
frequent,refrigerator
internal,resolution
sensitive,revenue
constant,session
minor,singer
previous,tennis
raw,basket
soft,bonus
solid,cabinet
weird,childhood
amazing,church
annual,clothes
busy,coffee
dead,dinner
FALSE,drawing
round,hair
sharp,hearing
thick,initiative
wise,judgment
equivalent,lab
initial,measurement
narrow,mode
nearby,mud
proud,orange
spiritual,poetry
wild,police
adult,possibility
apart,procedure
brief,queen
crazy,ratio
prior,relation
rough,restaurant
sad,satisfaction
sick,sector
strange,signature
external,significance
illegal,song
loud,tooth
mobile,town
nasty,vehicle
ordinary,volume
royal,wife
senior,accident
super,airport
tight,appointment
upper,arrival
yellow,assumption
dependent,baseball
funny,chapter
gross,committee
ill,conversation
spare,database
sweet,enthusiasm
upstairs,error
usual,explanation
brave,farmer
calm,gate
dirty,girl
downtown,hall
grand,historian
honest,hospital
loose,injury
male,instruction
quiet,maintenance
brilliant,manufacturer
dear,meal
drunk,perception
empty,pie
female,poem
inevitable,presence
neat,proposal
ok,reception
representative,replacement
silly,revolution
slight,river
smart,son
stupid,speech
temporary,tea
weekly,village
that,warning
this,winner
what,worker
which,writer
time,assistance
these,breath
work,buyer
no,chest
only,chocolate
then,conclusion
first,contribution
money,cookie
over,courage
business,dad
his,desk
game,drawer
think,establishment
after,examination
life,garbage
day,grocery
home,honey
economy,impression
away,improvement
either,independence
fat,insect
key,inspection
training,inspector
top,king
level,ladder
far,menu
fun,penalty
house,piano
kind,potato
future,profession
action,professor
live,quantity
period,reaction
subject,requirement
mean,salad
stock,sister
chance,supermarket
beginning,tongue
upset,weakness
chicken,wedding
head,affair
material,ambition
salt,analyst
car,apple
appropriate,assignment
inside,assistant
outside,bathroom
standard,bedroom
medium,beer
choice,birthday
north,celebration
square,championship
born,cheek
capital,client
shot,consequence
front,departure
living,diamond
plastic,dirt
express,ear
feeling,fortune
otherwise,friendship
plus,funeral
savings,gene
animal,girlfriend
budget,hat
minute,indication
character,intention
maximum,lady
novel,midnight
plenty,negotiation
select,obligation
background,passenger
forward,pizza
glass,platform
joint,poet
master,pollution
red,recognition
vegetable,reputation
ideal,shirt
kitchen,sir
mother,speaker
party,stranger
relative,surgery
signal,sympathy
street,tale
connect,throat
minimum,trainer
sea,uncle
south,youth
status,time
daughter,work
hour,film
trick,water
afternoon,money
gold,example
mission,while
agent,business
corner,study
east,game
neither,life
parking,form
routine,air
swimming,day
winter,place
airline,number
designer,part
dress,field
emergency,fish
evening,back
extension,process
holiday,heat
horror,hand
